Rank,Name,Keywords,Corr,pvalue,Signedcorrvalue,ID
1,length,"misc,raw,lengthdep",1.000,0.0,1.000,1
2,SP_Summaries_welch_rect_mean,FourierSpectrum,0.997,0.0,0.997,4470
3,EN_Randomize_statdist_d1fexpc,"entropy,slow,lengthdep",0.987,0.0,-0.987,2874
4,EN_Randomize_dyndist_d1fexpa,"entropy,slow,lengthdep",0.986,0.0,0.986,2935
5,EN_Randomize_statdist_d1fexpa,"entropy,slow,lengthdep",0.986,0.0,0.986,2872
6,EN_Randomize_permute_d1fexpa,"entropy,slow,lengthdep",0.985,0.0,0.985,2998
7,EN_Randomize_permute_d1fexpc,"entropy,slow,lengthdep",0.984,0.0,-0.984,3000
8,EN_Randomize_dyndist_d1fexpc,"entropy,slow,lengthdep",0.984,0.0,-0.984,2937
9,SP_Summaries_pgram_hamm_maxWidth,FourierSpectrum,0.971,0.0,-0.971,4321
10,CO_AddNoise_ac_std1_10_ami_at_20,"correlation,AMI,entropy",0.970,0.0,-0.970,1251
11,CP_ML_StepDetect_l1pwc_02_E,"stepdetection,lengthdep",0.969,0.0,0.969,7622
12,WL_coeffs_db3_5_wb99m,"wavelet,lengthdep",0.968,0.0,-0.968,6531
13,EN_Randomize_statdist_d1fexprmse,"entropy,slow,lengthdep",0.960,0.0,-0.960,2876
14,SP_Summaries_welch_rect_maxWidth,FourierSpectrum,0.959,0.0,-0.959,4445
15,WL_coeffs_db3_4_wb99m,"wavelet,lengthdep",0.958,0.0,-0.958,6521
16,EN_Randomize_dyndist_d1fexprmse,"entropy,slow,lengthdep",0.958,0.0,-0.958,2939
17,EN_Randomize_permute_d1fexprmse,"entropy,slow,lengthdep",0.954,0.0,-0.954,3002
18,CO_AddNoise_ac_quantiles_10_ami_at_20,"correlation,AMI,entropy",0.953,0.0,-0.953,1175
19,CO_AddNoise_ac_std1_10_ami_at_15,"correlation,AMI,entropy",0.952,0.0,-0.952,1250
20,WL_coeffs_db3_3_wb99m,"wavelet,lengthdep",0.951,0.0,-0.951,6511
21,SP_Summaries_pgram_hamm_width_weighted_prom,FourierSpectrum,0.949,0.0,-0.949,4330
22,SP_Summaries_fft_width_weighted_prom,FourierSpectrum,0.948,0.0,-0.948,4578
23,SP_Summaries_welch_rect_width_weighted_prom,FourierSpectrum,0.948,0.0,-0.948,4454
24,SP_Summaries_fft_maxWidth,FourierSpectrum,0.944,0.0,-0.944,4569
25,SP_Summaries_pgram_hamm_meanPeakWidth_prom2,FourierSpectrum,0.944,0.0,-0.944,4329
26,SP_Summaries_fft_meanPeakWidth_prom2,FourierSpectrum,0.940,0.0,-0.940,4577
27,SP_Summaries_welch_rect_meanPeakWidth_prom2,FourierSpectrum,0.940,0.0,-0.940,4453
28,CO_Embed2_Shapes_tau_circle_1_mean,"correlation,embedding",0.938,0.0,0.938,2044
29,CO_Embed2_Shapes_tau_circle_1_max,"correlation,embedding",0.937,0.0,0.937,2041
30,CO_AddNoise_ac_even_10_ami_at_20,"correlation,AMI,entropy",0.930,0.0,-0.930,1213
31,SP_Summaries_pgram_hamm_numPeaks,FourierSpectrum,0.925,0.0,0.925,4322
32,WL_coeffs_db3_2_wb99m,"wavelet,lengthdep",0.923,0.0,-0.923,6501
33,SP_Summaries_fft_numPeaks,FourierSpectrum,0.923,0.0,0.923,4570
34,SP_Summaries_welch_rect_numPeaks,FourierSpectrum,0.923,0.0,0.923,4446
35,CO_Embed2_Shapes_tau_circle_1_median,"correlation,embedding",0.922,0.0,0.922,2043
36,CO_AddNoise_ac_quantiles_10_ami_at_15,"correlation,AMI,entropy",0.922,0.0,-0.922,1174
37,MF_arfit_1_8_sbc_aerr_min,"modelfit,arfit",0.906,0.0,-0.906,6620
38,WL_coeffs_db3_max_wb99m,"wavelet,lengthdep",0.899,0.0,-0.899,6541
39,SP_Summaries_pgram_hamm_linfitloglog_hf_sea1,FourierSpectrum,0.894,0.0,-0.894,4393
40,CO_AddNoise_ac_std1_10_ami_at_10,"correlation,AMI,entropy",0.891,0.0,-0.891,1249
41,SP_Summaries_pgram_hamm_linfitloglog_mf_sea1,FourierSpectrum,0.890,0.0,-0.890,4398
42,CO_AddNoise_1_std1_10_ami_at_20,"correlation,AMI,entropy",0.888,0.0,-0.888,1232
43,SP_Summaries_fft_linfitloglog_mf_sea1,FourierSpectrum,0.886,0.0,-0.886,4646
44,SP_Summaries_welch_rect_linfitloglog_mf_sea1,FourierSpectrum,0.886,0.0,-0.886,4522
45,EN_Randomize_statdist_statav5fexprmse,"entropy,slow,stationarity",0.884,0.0,-0.884,2913
46,CO_AddNoise_ac_even_10_ami_at_15,"correlation,AMI,entropy",0.884,0.0,-0.884,1212
47,CP_ML_StepDetect_l1pwc_005_E,stepdetection,0.881,0.0,0.881,7609
